"First name","Second name","ID"
"ERIK","WALLI WALTERHOLM",688
"ERIN","AMBROSE",689
"ERROL","THOMPSON",690
"ESA","LINDELL",691
"ESA","TIKKANEN",692
"ESKILD","BAKKE OLSEN",693
"ETHAN","BEAR",694
"ETHAN","BELCHETZ",695
"ETHAN","CARDWELL",696
"ETHAN","DE JONG",697
"ETHAN","DEL MASTRO",698
"ETHAN","FRISCH",699
"ETHAN","KEPPEN",700
"ETHAN","MACKENZIE",701
"ETHAN","MOREAU",702
"ETHAN","SAMSON",703
"ETHEN","FRANK",704
"EVAN","BOUCHARD",705
"EVAN","DÉPATIE",706
"EVAN","FRIESEN",707
"EVAN","RODRIGUES",708
"EVAN","VIERLING",709
"EVANDER","KANE",710
"EVGENI","MALKIN",711
"EVGENII","DADONOV",712
"FABIAN","LYSELL",713
"FABIAN","WAGNER",714
"FABIAN","ZETTERLUND",715
"FEDOR","SVECHKOV",716
"FEDOR","TYUTIN",717
"FELIX","NILSSON",718
"FELIX","ROBERT",719
"FELIX","UNGER SORUM",720
"FILIP","BERGLUND",721
"FILIP","BJORKMAN",722
"FILIP","BYSTEDT",723
"FILIP","CEDERQVIST",724
"FILIP","CHYTIL",725
"FILIP","ERIKSSON",726
"FILIP","FORSBERG",727
"FILIP","HALLANDER",728
"FILIP","HASA",729
"FILIP","HRONEK",730
"FILIP","JOHANSSON",731
"FILIP","KUBA",732
"FILIP","MESAR",733
"FILIP","ROOS",734
"FILIP","WESTERLUND",735
"FLORIAN","XHEKAJ",736
"FRANCESCO","ARCURI",737
"FRANCESCO","PINELLI",738
"FRANCOIS","BEAUCHEMIN",739
"FRANK","MAHOVLICH",740
"FRANK","NAZAR",741
"FRANK","VATRANO",742
"FRANS","HAARA",743
"FRASER","MINTEN",744
"FRED","NILSSON",745
"FREDERIC","ALLARD",746
"FREDERIC","BRUNET",747
"FREDERICK","GAUDREAU",748
"FREDRIK","HANDEMARK",749
"FREDRIK","KARLSTROM",750
"FREDRIK","MODIN",751
"FREDRIK","OLAUSSON",752
"FREDRIK","OLOFSSON",753
"GABBIE","HUGHES",754
"GABBY","ROSENTHAL",755
"GABE","KLASSEN",756
"GABE","SMITH",757
"GABE","VILARDI",758
"GABRIEL","CARLSSON",759
"GABRIEL","FONTAINE",760
"GABRIEL","LANDESKOG",761
"GABRIEL","SEGER",762
"GABRIEL","SZTURC",763
"GAGE","GONCALVES",764
"GANNON","LAROQUE",765
"GARNET","HATHAWAY",766
"GARNET \""ACE\""","BAILEY",767
"GARRETT","PILON",768
"GARRETT","WILSON",769
"GARRY","HOWATT",770
"GARRY","UNGER",771
"GARRY","VALK",772
"GARTH","BUTCHER",773
"GARY","DORNHOEFER",774
"GARY","ROBERTS",775
"GARY","SUTER",776
"GAVIN","BRINDLEY",777
"GAVIN","HAIN",778
"GAVIN","HAYES",779
"GAVIN","WHITE",780
"GEORGE","PARROS",781
"GEORGES","LARAQUE",782
"GEORGII","MERKULOV",783
"GERALD","KORAB",784
"GERRY","MEEHAN",785
"GILBERT","DIONNE",786
"GINO","ODJICK",787
"GLEB","TRIKOZOV",788
"GLEN","MURRAY",789
"GLENN","ANDERSON",790
"GLENN","GAWDIN",791
"GLENN","GUSTAFSSON",792
"GORD","MURPHY",793
"GORDIE","HOWE",794
"GORDIE","ROBERTS",795
"GRACE","ZUMWINKLE",796
"GRAEME","CLARKE",797
"GRAHAM","SLAGGERT",798
"GRANT","CRUIKSHANK",799
"GRANT","JENNINGS",800
"GRANT","MARSHALL",801
"GRAYSON","BURZYNSKI",802
"GREG","ADAMS",803
"GREG","DE VRIES",804
"GREG","MALONE",805
"GREG","SCOTT",806
